TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
91576611,1129.01,,5,5,5,5,5,5,5,,PC,FP,8.7823,0.007,,1,qlp,18:56:37.91,-29:23:54.08,17.883,0.088,-14.764,0.08,2458659.06927,0.00289,4.43651,0.00101,3.365,0.269,1.651575,0.645413,1520,594.271,19.9664,6.34495,8233.41,2653,20,247.414,2.905,7101.9,165.9,3.91,.1,2.32,.15,,,"13",2019-08-22 14:42:10,2020-05-20 19:58:57,2020-06-22 12:00:28,"centroid shift; slightly v-shaped transit"
254113311,1130.01,,3,4,3,3,4,4,4,,PC,CP,10.1429,0.006,,1,qlp,19:05:30.24,-41:26:15.5,12.538,0.088,-27.18,0.071,2458657.89786,0.00058,8.3504,0.0004,1.814,0.123,16.773234,0.022333,15330,20.5691,10.3447,1.01221,19.5699,585,78,58.2609,.16955,4236,122.3,4.52,.1,.74,.07,,,"13",2019-08-22 14:42:11,2020-05-20 19:58:55,2020-07-06 12:00:35,"Possible multi"
254113311,1130.02,,1,4,4,1,4,4,4,,PC,CP,10.1429,0.006,,2,qlp,19:05:30.24,-41:26:15.5,12.538,0.088,-27.18,0.071,2458658.738037,0.00165,4.06719,0.00056,1.783,0.148,2.340001,0.002155,2152.899902,1.98461,3.51616,.286258,,,24,58.2609,.16955,4341.399902,169.100006,4.52,.1,.69,.05,,,"13",2019-09-03 17:42:04,2019-12-17 15:43:42,2020-06-08 12:00:26,
198213332,1131.01,,3,4,3,4,4,4,4,5,PC,,9.2872,0.006,,1,qlp,16:33:44.05,61:43:06,-4.999,0.267,6.335,0.299,2458684.06046,0.0017,0.58603,0.00001,0.712,0.062,0.466967,0.000671,430,.617725,5.55614,.378979,1042.07,1582,23,222.74,6.115,5579,135.4,3.67,.08,2.4,.14,,,"14,15,16,17,18,19,24",2019-08-27 16:09:24,2020-09-23 12:22:30,2020-09-23 10:00:01,"Possible EB; short period; V-shaped; a/R_s = 1.3;"
267489265,1132.01,,5,5,5,5,5,5,5,,PC,FP,9.2293,0.006,,1,qlp,19:55:07.51,54:46:53.2,-7.484,0.069,-20.775,0.064,2458683.679443,0.01044,1.55058,0.00112,2.956,0.494,0.33,0.001119,303.894989,1.03081,3.48188,.213096,,,15,286.668,2.913,7851,72.900002,4.17,.07,1.82,.03,,,"14",2019-08-27 16:09:23,2019-12-17 15:43:41,2019-12-17 10:00:02,"TFOP FP"
69997672,1133.01,,3,4,3,4,4,4,4,,PC,,9.11458,0.006,,1,qlp,19:39:17.78,31:57:28.93,-5.049,0.176,-28.421,0.189,2458684.2349,0.01005,1.80709,0.00123,3.297,1.009,0.488691,0.002941,450,2.70834,4.86242,.467902,7233.01,2569,9,233.369,5.819,6244,124.8,3.84,.09,2.2,.11,,,"14",2019-09-03 15:31:11,2020-05-20 19:58:59,2020-05-20 16:00:02,
122220263,1134.01,,5,5,5,5,5,5,5,,PC,FP,9.03609,0.006,,1,qlp,19:20:05.03,36:38:15.99,21.767,0.044,15.98,0.052,2458688.52795,0.0005,.0,.0,7.142,0.098,12.821956,0.000356,11740,.328093,18.2358,.779247,,,129,170.732,.812,6277,125.8,4.09,.09,1.65,.07,,,"14",2019-09-03 15:31:11,2020-05-20 19:59:03,2020-05-20 16:00:02,"Single transit"
154872375,1135.01,,3,4,3,4,1,4,4,1,PC,,9.02855,0.006,,1,spoc,12:53:35.13,85:07:46.18,16.883,0.05,5.076,0.042,2458684.152458,0.000273,8.027722,0.000011,4.449507,0.024618,6.157548,0.055019,5655.259395,50.67281,8.818492,.401786,246.92553,1011.023495,103.599464,114.048,.307,5962.7,68.6,4.38,.08,1.15415,.051736,,,"14,19,20,26",2019-08-27 16:09:24,2020-09-23 14:23:51,2020-09-23 16:00:02,"5.5 sigma odd-even"
142276270,1136.01,,1,4,1,3,4,4,4,5,PC,,8.9361,0.006,,1,spoc,12:48:44.38,64:51:18.99,0.937,0.039,-10.171,0.034,2458686.06665,0.001956,12.518414,0.002691,4.11973,0.188666,2.311626,0.112076,2126.821045,103.220108,4.55992,.359358,83.344566,770.617859,16.236145,84.5362,.158,5729,131.100006,4.47,.08,.977727,.048352,,,"14,15",2019-08-27 16:09:26,2019-12-17 15:43:43,2020-03-25 12:00:24,"potential L1 in multi-planet system"
142276270,1136.02,,1,4,1,1,4,4,4,,PC,,8.9361,0.006,,2,spoc,12:48:44.38,64:51:18.99,0.937,0.039,-10.171,0.034,2458688.717041,0.002097,6.256742,0.001105,3.472081,0.33029,0.994123,0.080384,915.202271,74.034111,3.00227,.88346,210.125473,971.045166,12.109399,84.5362,.158,5729,131.100006,4.47,.08,.977727,.048352,,,"14",2019-10-17 00:30:12,2020-01-21 18:39:51,2020-03-25 12:00:24,"multi"
