star_ID,Period(yrs),Radius(REarth),a(AU),BBtemp(K),planet_type
6601,1.33137,1.39171,0.961117,155.410,5
5902,0.722745,1.35016,0.513542,119.496,5
958,6.64470,1.67791,3.88749,181.685,5
6482,5.69189,1.25888,3.94783,246.131,5
5236,5.84193,1.35636,3.34886,165.782,5
1779,4.47206,1.16878,2.43329,134.239,5
3884,14.3888,1.63527,6.14708,124.446,5
807,1.96147,1.44438,1.45238,189.676,5
5383,7.58865,1.62908,4.14842,165.317,5
4389,9.12182,1.23420,5.16916,191.196,5
6276,8.97153,1.10446,4.40425,140.061,5
1440,1.84484,1.68723,1.38503,190.888,5
1083,4.36077,1.40523,2.89013,202.217,5
4291,9.32111,1.68223,4.92560,166.155,5
7129,7.46158,1.35031,4.40741,193.660,5
1277,8.91897,1.19284,3.83790,105.622,5
2948,2.87490,1.16401,2.07446,207.223,5
5616,11.3251,1.08317,5.83892,169.623,5
6150,9.21920,1.33062,5.07117,180.196,5
1146,4.06790,1.14472,2.51525,169.997,5
2758,6.62677,1.36021,3.23611,123.631,5
2974,3.26333,1.37469,1.74196,114.526,5
1137,6.01714,1.24996,3.31300,153.865,5
6057,3.54056,1.54644,1.62581,85.7530,5
285,3.48746,1.00668,2.04477,143.329,5
5779,12.7623,1.15615,6.28371,160.857,5
6150,9.21920,1.37910,5.07117,180.196,5
6288,0.332780,3.32729,0.483767,408.960,6
794,0.703540,2.71956,0.806796,327.131,6
3339,0.127380,2.69773,0.178913,265.180,6
6394,0.356183,2.46987,0.491205,375.069,6
5236,0.465474,3.45580,0.620092,385.262,6
5274,0.140864,3.44058,0.252346,461.792,6
2689,0.580266,2.86406,0.664909,303.826,6
6198,0.662356,2.10535,0.859365,415.739,6
7259,0.0382525,3.48935,0.0836219,432.393,6
1363,0.296812,3.48745,0.477527,485.994,6
4843,0.412864,2.70562,0.643610,514.357,6
2715,0.472615,2.90360,0.682105,459.355,6
1392,0.442539,2.67125,0.599078,391.148,6
5015,0.395608,3.16589,0.530668,367.823,6
1896,0.764872,1.98700,0.885512,344.438,6
6321,0.322458,2.55176,0.416241,313.968,6
4714,0.213606,2.37248,0.342647,426.905,6
5036,0.217222,3.30279,0.402758,584.442,6
2734,0.404613,1.79588,0.559360,395.483,6
5624,2.03848,2.68439,1.91918,320.581,6
4728,0.214197,2.03069,0.336227,408.105,6
4389,0.839388,2.76024,1.05360,423.499,6
3360,0.447694,3.05487,0.682318,505.370,6
7204,0.626649,3.35562,0.756863,349.722,6
4390,0.0838034,1.80320,0.138270,319.110,6
2117,0.290326,2.29976,0.425679,395.687,6
97,0.316196,2.39145,0.446837,377.786,6
6307,0.361723,3.02074,0.521702,414.925,6
3812,0.185451,3.25911,0.323013,482.275,6
4390,0.0838034,3.15916,0.138270,319.110,6
1290,1.07159,2.96219,1.22715,381.906,6
119,0.0432520,2.59011,0.0906314,413.819,6
553,1.33611,2.95915,1.36739,326.705,6
3195,0.222424,2.60326,0.379715,494.748,6
4113,0.160700,2.42749,0.202407,229.512,7
6700,2.40206,3.05714,1.86324,225.893,7
6288,0.992641,3.21332,1.00244,284.099,7
5364,1.32725,2.54171,1.14681,227.434,7
6742,0.143070,3.46875,0.199112,271.628,7
1999,2.67909,2.53765,2.09771,240.069,7
3195,2.23933,2.77437,1.77044,229.125,7
4635,3.03382,2.58663,2.34374,244.444,7
5521,2.72253,2.92413,2.23533,267.147,7
3258,1.25057,2.57951,1.18363,269.928,7
2341,1.37576,1.90095,1.16283,219.974,7
5637,3.81737,3.15554,2.69196,219.489,7
6127,0.659229,3.48504,0.700363,271.396,7
7204,2.19465,2.45419,1.74546,230.291,7
6015,1.84856,3.11413,1.57004,248.289,7
3703,1.05249,3.33320,0.991932,250.752,7
1215,0.600671,3.49014,0.643500,266.781,7
3195,2.15814,1.81486,1.72739,231.963,7
4062,2.05911,2.89396,1.63424,223.851,7
610,0.594975,3.10428,0.660465,286.690,7
1271,2.54603,1.81550,2.09606,262.014,7
1885,4.12812,1.96987,2.89442,223.284,7
4157,0.0844303,3.00841,0.117438,222.624,7
803,1.50326,2.83240,1.43940,296.436,7
610,0.898075,2.95420,0.869079,249.924,7
1896,1.49894,1.76814,1.38673,275.241,7
68,3.84801,2.81542,2.72605,222.306,7
4983,3.92675,2.69260,2.80361,227.743,7
1714,1.55021,1.93587,1.48055,298.244,7
6198,2.48308,1.75528,2.07385,267.622,7
6237,4.93411,2.24120,3.43722,235.467,7
948,2.30917,3.41459,1.89937,252.115,7
5557,0.171746,3.10838,0.211789,224.957,7
6237,4.66503,3.33445,3.31109,239.910,7
3884,1.04029,3.30779,1.06681,298.726,7
4549,0.511564,3.14294,0.581038,284.423,7
6793,1.54951,2.64355,1.35995,249.173,7
3997,1.32563,3.35173,1.23678,267.600,7
5244,0.0771057,3.00249,0.118442,265.705,7
6383,2.85038,2.00473,2.14207,225.188,7
6175,2.14436,1.88611,1.70003,226.755,7
6097,2.73541,2.02603,2.07068,225.192,7
68,2.82507,2.82678,2.21852,246.426,7
3744,1.14703,2.07836,1.06264,249.698,7
2477,1.53396,3.21616,1.31783,237.209,7
6101,4.07111,2.83937,3.13643,271.351,7
2328,0.823869,2.96801,0.816663,254.650,7
3997,2.21355,3.33517,1.74075,225.561,7
5610,0.708363,2.72135,0.703244,241.411,7
6477,4.51565,3.48242,3.29304,251.038,7
1215,0.585260,3.25708,0.632446,269.103,7
6793,1.28791,2.99446,1.20222,265.015,7
6601,0.183024,3.05431,0.256006,301.122,7
1271,3.30698,3.03065,2.49526,240.143,7
4236,1.33312,2.21296,1.19219,245.085,7
5735,0.145952,3.34126,0.204549,277.766,7
4549,0.617927,3.49960,0.659017,267.066,7
5135,1.52544,2.45153,1.29048,229.094,7
7199,0.517597,2.75403,0.551642,249.540,7
4983,3.91572,2.18724,2.79836,227.957,7
7259,0.276845,2.86835,0.312875,223.539,7
5508,0.896984,2.05350,0.866887,249.116,7
6842,3.62519,2.60697,2.77784,256.835,7
1099,2.57166,1.95905,2.18924,282.394,7
224,0.748614,3.30641,0.780270,273.321,7
2715,16.7995,3.47267,7.37410,139.707,8
6321,2.55533,2.04010,1.65448,157.480,8
5593,2.50328,2.13541,1.25134,90.1847,8
6290,10.8484,2.56011,4.92692,127.478,8
262,16.3490,2.34274,7.49352,151.601,8
6276,8.97153,2.86215,4.40425,140.061,8
4728,6.07926,2.66682,3.12840,133.791,8
6793,10.8764,1.81490,4.98558,130.138,8
2799,7.89121,3.07106,3.97425,140.936,8
4549,6.78750,2.19323,3.25645,120.142,8
5152,1.61451,2.56175,1.16659,167.390,8
4883,8.06570,3.27287,4.03954,140.423,8
5557,2.46622,1.96844,1.25122,92.5515,8
127,3.47128,1.99435,2.34723,193.721,8
2948,11.5300,2.29688,5.23651,130.427,8
4883,8.06570,1.78162,4.03954,140.423,8
1215,0.961990,2.63291,0.880855,228.023,8
6237,5.46271,2.95700,3.67853,227.613,8
1271,3.30698,2.92924,2.49526,240.143,8
5236,5.84193,3.27439,3.34886,165.782,8
3036,6.81896,3.09776,4.08453,192.874,8
7204,8.35033,2.37214,4.25406,147.513,8
610,1.09354,1.97809,0.991003,234.046,8
2340,9.29525,2.44440,4.60360,144.621,8
598,9.74140,1.79010,4.77005,143.674,8
5540,7.48993,3.26010,3.51844,119.196,8
5540,7.48993,2.65839,3.51844,119.196,8
2758,5.10738,3.38145,2.72033,134.843,8
2450,1.46062,3.16748,0.828105,96.2933,8
6805,5.16128,2.53883,3.74808,261.591,8
3316,7.35925,1.77206,4.43956,201.485,8
5434,1.10929,3.45623,0.653013,94.0776,8
918,13.4392,2.92682,6.02983,134.617,8
4728,6.07926,2.97139,3.12840,133.791,8
6453,8.78380,2.95191,4.03641,120.753,8
598,9.74140,3.06882,4.77005,143.674,8
2020,8.80815,2.53618,4.19534,130.448,8
3739,4.17858,2.76111,2.55545,167.753,8
807,7.43134,3.35088,3.52971,121.670,8
2799,7.89121,1.98556,3.97425,140.936,8
3343,5.13846,2.87763,3.12918,179.653,8
2320,12.1512,3.16347,5.04942,110.131,8
2105,4.78217,1.75917,2.80924,161.999,8
6307,2.08359,1.93317,1.67641,231.468,8
2117,10.3199,2.59775,4.60193,120.344,8
7082,2.03874,2.33714,1.22385,123.208,8
4936,3.45323,3.25381,1.62726,89.7550,8
5236,5.84193,2.73764,3.34886,165.782,8
2734,14.3823,3.20320,6.04713,120.282,8
6015,13.3698,2.83953,5.87181,128.389,8
3330,15.3389,2.88602,6.30444,117.412,8
6345,4.27621,2.55168,2.41992,143.493,8
4728,6.07926,2.92897,3.12840,133.791,8
2734,14.3823,3.17250,6.04713,120.282,8
5135,11.4052,2.76237,4.93429,117.159,8
2948,11.5300,2.18446,5.23651,130.427,8
4549,1.97694,2.22971,1.43087,181.245,8
2340,9.55778,2.48984,4.68988,143.284,8
5637,8.83352,2.73093,4.70958,165.942,8
6654,1.64485,3.15982,1.09209,140.825,8
2528,2.25517,2.92553,1.52237,164.209,8
3346,13.1323,2.70922,6.25125,151.334,8
6793,10.8764,2.36675,4.98558,130.138,8
5236,5.84193,2.18317,3.34886,165.782,8
6015,13.3698,3.24770,5.87181,128.389,8
4714,2.68357,1.76885,1.85174,183.639,8
1837,1.94714,2.09132,1.08179,102.733,8
7199,3.82358,2.18211,2.09239,128.129,8
1083,4.36077,3.05781,2.89013,202.217,8
5135,8.93794,2.18727,4.19419,127.077,8
3670,4.90541,2.25680,2.62466,134.108,8
4390,2.94153,2.82759,1.48230,97.4623,8
2257,7.58274,3.10415,4.09809,161.303,8
5162,7.53380,2.20838,3.88625,145.741,8
2960,10.9642,2.49854,5.66744,168.496,8
5540,2.96641,2.66748,1.89752,162.309,8
2697,8.49343,3.16347,4.53634,164.137,8
2715,16.7995,2.41545,7.37410,139.707,8
4528,13.3861,2.36869,5.69808,120.193,8
4983,8.75060,1.81316,4.78323,174.359,8
4228,9.44179,2.12396,4.82332,155.371,8
274,8.43522,3.22631,4.12362,135.644,8
4714,2.68357,3.09275,1.85174,183.639,8
2649,10.4930,2.53744,5.49489,170.390,8
958,6.64470,2.29012,3.88749,181.685,8
626,4.99715,3.45884,2.76194,144.684,8
599,3.37698,3.03318,2.09156,159.103,8
6091,8.95032,1.85053,4.15196,124.072,8
5540,7.48993,3.05283,3.51844,119.196,8
7259,0.699435,2.03541,0.580379,164.128,8
3760,4.41397,2.13744,3.05830,223.253,8
5745,10.1599,2.06954,4.73147,131.194,8
5616,11.3251,2.12470,5.83892,169.623,8
5521,8.28210,2.69726,4.69302,184.372,8
5162,7.53380,2.09816,3.88625,145.741,8
1277,8.91897,2.22722,3.83790,105.622,8
4714,2.68357,1.99941,1.85174,183.639,8
7401,4.46750,2.61322,2.56860,150.868,8
2450,2.07286,2.40989,1.04578,85.6876,8
2974,3.26333,3.03440,1.74196,114.526,8
7401,10.8518,1.79660,4.64145,112.233,8
2105,4.78217,2.07332,2.80924,161.999,8
2257,10.2399,1.94411,5.00682,145.933,8
4200,3.79457,3.36122,2.52555,193.676,8
6484,6.42012,2.93049,3.91760,196.142,8
3485,0.884730,2.90511,0.632321,130.520,8
4062,10.4648,3.14961,4.83078,130.199,8
2257,10.2399,2.95763,5.00682,145.933,8
599,3.37698,1.89093,2.09156,159.103,8
5901,0.0502406,4.46658,0.0895912,310.686,9
6295,1.22835,3.87483,1.31211,346.720,9
1099,0.226033,4.15315,0.432779,635.141,9
6918,0.276341,4.87772,0.479044,554.463,9
1234,1.14619,4.62329,1.22506,338.251,9
5521,1.60152,4.04154,1.56933,318.833,9
6793,0.305982,4.86898,0.461167,427.892,9
3760,1.40288,5.39799,1.42432,327.141,9
68,1.08941,5.61481,1.17536,338.557,9
4803,3.17880,4.81704,2.42313,241.793,10
2450,0.0583154,5.26739,0.0967348,281.739,10
3884,1.63964,3.58175,1.44483,256.689,10
1885,1.71954,5.45132,1.61437,298.977,10
2656,1.41333,5.40211,1.38104,302.425,10
6522,0.169121,4.43719,0.234408,286.714,10
6601,0.247938,4.55843,0.313428,272.144,10
