# tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,comments,logg,logg Err,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p
89020549,132.01,PC,338.39942,-43.436628,10.803,0.018,1326.903983,0.001768,2.109307,0.00025,2.068328,0.357938,1379.431961,84.67819,Possible centroid shift toward faint star to the SE,4.55383,0.4189,0.87924,0.176641,3.307084,1.646429,1305.950446,5673,188,687.428912,0.845486
219338557,133.01,PC,354.395739,-58.954636,9.883,0.018,1327.291396,0.002752,8.1952,0.001473,2.309555,0.457632,946.435776,82.18145,,4.55902,0.201108,0.708945,0.059908,2.160801,1.917926,567.914087,4028,170,24.583945,0.821221
234994474,134.01,PC,350.0313,-60.0652,9.169,0.019,1326.033176,0.001456,1.401461,0.000137,1.264937,0.207902,565.503282,37.851494,Level 1 candidate,4.67812,0.063226,0.598,0.018,1.583888,0.360332,894.914298,3794,69,151.581705,0.823193
267263253,135.01,PC,7.328937,-76.304075,9.213,0.019,1325.783759,0.000208,4.126904,5.70E-05,4.492686,0.016126,10068.55437,33.41181,,4.23416,0.355654,1.5479,0.205971,15.947767,2.122716,1574.936764,6888,204,1454.030397,0.777657
410153553,136.01,PC,340.4921,-69.169,11.877,0.064,1325.72603,0.000322,0.46291,1.10E-05,0.520794,0.106125,4681.643995,178.9042,Level 1 target. Potential short period small planet around an M dwarf.,5.09707,0.426694,0.179,0.032,1.267697,0.366063,723.126924,3043,63,64.621812,0.817114
176957796,137.01,PC,101.297297,-66.238034,10.642,0.018,1327.369003,0.004306,4.819018,0.001436,3.035372,0.275922,1803.249732,160.64334,,4.56937,0.2,0.85824,0.150601,4.458667,0.842854,804.848741,4651,175,99.16949,0.883885
62483237,139.01,PC,336.402307,-34.909623,9.295,0.02,1334.896388,0.001811,11.058421,0.00257,2.136519,0.327214,1367.122742,100.4967,Level 1 candidate,4.53491,0.3608,0.738419,0.125859,2.687866,1.814681,564.767748,4356,173,24.043659,0.888537
140068425,140.01,PC,330.301574,-49.060026,9.806,0.041,1327.399305,0.001311,2.28139,0.000207,0.859711,0.116683,1077.390775,98.91284,,4.27404,2.00568,1.31178,1.31178,5.069735,5.087404,1647.850619,6174,194,1742.578534,0.832334
403224672,141.01,PC,338.984609,-59.864489,7.358,0.018,1325.538528,0.001209,1.007908,8.50E-05,1.534232,0.161406,220.394479,10.559796,,4.438,0,1.18947,0.106891,1.974088,0.429755,1876.180909,5795.29,44.5804,2928.328886,0.795608
425934411,142.01,PC,4.60579,-62.847886,14.672,0.018,1325.489793,0.000851,0.853319,2.40E-05,1.139772,0.074358,27850.1182,1655.4967,Gaia stellar radii 0.69 Rsun.,4.438,0,1,0,21.80123,12.37259,1216.150954,3658,162,516.976666,22.001486
25375553,143.01,PC,328.767654,-22.612566,9.772,0.019,1325.58249,0.000343,2.310894,5.50E-05,3.422324,0.025078,6939.353936,46.406292,,3.94807,0.439603,1.98196,0.395184,17.627707,3.516223,2055.414257,6371,197,4218.115431,0.873101
261136679,144.01,PC,84.291198,-80.469143,5.097,0.063,1325.503694,0.003021,6.266571,0.001314,3.093161,0.20533,248.742811,21.850191,Small planet candidate orbiting a very bright star,4.438,0,1,0,1.860292,0.129868,1017.703421,5950,0,253.51633,0.805639
265612438,145.01,PC,333.174746,-55.978763,11.635,0.019,1327.04953,0.00317,5.12944,0.00132,4.832,0.202,3376.1,2.32,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.,4.4,2,1.62,0.04,10.357,0.365187,1319,5430.7,64.5,502.844,22
355636844,146.01,PC,358.301495,-56.01304,10.241,0.019,1330.55618,0.00445,6.29632,0.00401,2.938,0.305,979.326,1.89,Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet.,,,,,,,1209,6905,204,355.48,15
220435095,147.01,PC,73.6414,-57.513557,11.818,0.018,1326.61107,0.00143,3.42316,0.00033,1.95,0.406,9683.96,18.1,,,,2.46,0.12,26.5768,1.73554,1256,5808.3,137.4,414.297,42
393940766,148.01,PC,338.320677,-38.159717,11.727,0.018,1327.33133,0.00241,4.8661,0.00101,3.215,0.228,5029.02,4.71,Planet candidate around 393940766 to the NW.,4.34,2,1.24,0.4,9.70106,3.16125,1184,5814.3,793.8,326.71,26
260985861,149.01,PC,76.635855,-80.768181,10.14,0.018,1327.40226,0.002,3.34024,0.00049,4.077,0.323,5082.39,2.68,Source is apparently 260985864- which may be a planet depending on host star size.,,,,,,,1428,5095.6,1193.1,691.777,13
271893367,150.01,PC,112.965695,-73.606125,10.865,0.019,1326.27838,0.00139,5.85758,0.00053,5.818,0.107,7385.78,0.981,,4.1,0.11,1.58,0.02,14.9738,0.259698,1415,5766,37.3,665.638,36
231081369,153.01,PC,68.073647,-66.916366,11.686,0.018,1329.84791,0.00204,7.63227,0.00108,1.656,0.427,6339.82,21.4,,4.16,0.2,,,,,865,6338.3,291.5,93.2859,11
129637892,155.01,PC,321.114974,-37.850144,9,0.02,1326.74444,0.0038,5.43636,0.00194,5.974,0.257,8232.2,226,,3.99,0.36,1.84,0.09,18.3741,3.17363,2814,6220.5,151.8,10411.9,27
140691463,157.01,PC,73.701279,-76.680516,11.976,0.018,1326.54604,0.00053,2.08457,9.00E-05,1.788,0.046,13291.3,4.83,,4.41,2,1.14,0.02,14.4073,0.347154,1212,5390.9,39.8,359.167,88
394657039,159.01,PC,51.781947,-78.549812,10.477,0.018,1328.63687,0.00055,3.76276,0.00019,4.108,0.076,13190.2,0.84,,4.43,0.16,1.65,0.24,20.8073,3.06145,1629,6404,463.3,1171.71,100
348770361,161.01,PC,46.68608,-82.316422,11.419,0.018,1325.70292,0.00212,2.76898,0.00047,4.619,0.289,3495.45,1.71,Unknown stellar (and candidate) radius. Possible small centroid shift to NW.,4.42,2,,,,,1906,5792.5,29.9,2193.83,34
179317684,163.01,PC,79.768168,-71.895588,10.843,0.018,1328.87975,0.00102,4.23163,0.00036,4.232,0.071,8163.25,1.01,,4.24,2.01,1.66,0.1,16.4676,1.03275,1568,6387.9,196.4,1003.6,57
147203645,166.01,PC,323.195894,-44.017794,10.696,0.018,1326.38424,0.0021,5.06187,0.00094,1.247,0.243,12335,197,,4.45,0.36,1.05,0.06,12.8254,1.79247,857,5254,152.9,89.9395,32
149990841,167.01,PC,90.662314,-64.819485,11.57,0.018,1328.03406,0.00146,4.45339,0.00055,2.164,0.267,8618.88,29.8,,4.39,2,,,,,1287,5766,158.9,456.015,26
369457671,168.01,PC,311.643495,-37.904371,11.419,0.018,1326.49996,0.00403,2.31257,0.00078,1.459,0.202,2248.69,6.98,,,,0.65,0.03,3.38244,0.258351,972,4801.5,126.2,148.536,9
183120439,169.01,PC,16.7783,-75.198873,11.742,0.018,1327.43797,0.00103,2.25596,0.00014,1.134,0.053,6550.06,5.51,,4.33,2,1.27,0.17,11.2756,1.52049,1016,5780.6,401.1,177.223,34
394698182,170.01,PC,54.988393,-83.088557,11.928,0.019,1325.51317,0.00085,3.7118,0.00021,2.747,0.093,12883.1,2.92,,4.3,2,1.24,0.02,15.4596,0.38254,1212,5768.2,56.4,359.138,69
309257814,171.01,PC,124.269511,-63.213478,11.541,0.019,1326.40275,0.00096,1.23855,9.00E-05,1.82,0.188,15054,6.95,,4.24,0.42,1.12,0.01,15.1601,0.364844,1544,4976.1,26.9,945.627,32
29857954,172.01,PC,316.631883,-26.69262,10.711,0.019,1326.91973,0.00529,9.47572,0.00316,4.709,0.382,4225.94,5.58,Star to NW checked. Transit likely on the target.,4.32,2,1.7,0.14,12.1917,1.069,1031,5801.8,235.6,187.637,11
425997655,174.01,PC,55.459877,-62.767049,8.69687,0.018031,1342.994583,0.001819,17.668189,0.001413,2.745577,0.298883,682.497924,46.529156,known TOI; follow-up in progress,4.38,0.21,0.734392,0.082496,1.988593,0.759062,565.962218,4813,111,24.247712,14.758427
425997655,174.02,PC,55.459877,-62.767049,8.69687,0.018031,1340.303729,0.002602,29.797713,0.001995,2.956428,0.37789,615.266785,46.774258,known TOI; followup in progress,4.38,0.21,0.734392,0.082496,1.835706,1.14071,475.47075,4813,111,12.07859,12.40131
425997655,174.03,PC,55.459877,-62.767049,8.69687,0.018031,1335.733561,0.009855,12.166894,0.004979,3.762924,0.660261,344.725694,165.30083,known TOI; marginal PC,4.38,0.21,0.734392,0.082496,2.013877,1.943425,640.901869,4813,111,39.873757,7.549213
425997655,174.04,PC,55.459877,-62.767049,8.69687,0.018031,1326.029824,0.003407,3.976337,0.000299,1.591158,0.203994,181.341014,24.060326,known TOI; marginal PC,4.38,0.21,0.734392,0.082496,1.006454,1.244018,930.444325,4813,111,177.126103,7.602264
307210830,175.01,PC,124.5319,-68.313,9.393,0.009,1356.203764,0.000855,3.690613,0.00023,1.267582,0.215477,1828.769675,87.79798,,4.9401,0.058929,0.313,0.009,1.348538,0.519391,481.053179,3469,68,12.655909,22.611319
307210830,175.02,PC,124.5319,-68.313,9.393,0.009,1355.2864,0.001047,7.451113,0.000568,0.835565,0.141109,1641.527815,121.92865,,4.9401,0.058929,0.313,0.009,1.434774,0.197076,380.614703,3469,68,4.95979,13.918656
